coffeepk,lat,lon,name,city,state,street,rating,numofratings,tile
182,40.7452192,-73.9908474,Starbucks,New York,NY,Avenue of the Americas 776,0.0,0,13581_-24664
183,40.7620837,-73.9833543,Starbucks,New York,NY,West 52nd Street 156,0.0,0,13587_-24662
184,40.7590282,-73.9926029,Starbucks,New York,NY,9th Avenue 684,0.0,0,13586_-24665
185,40.7799038,-73.9597037,Starbucks,New York,NY,Madison Avenue 1142,0.0,0,13593_-24654
186,40.7422223,-74.0046642,chalait,New York,NY,9th Avenue 75,0.0,0,13580_-24669
187,40.744475,-74.0062646,Star On 18,New York,NY,10th Avenue 128,0.0,0,13581_-24669
188,40.7445639,-73.9992418,Fellini Coffee,New York,NY,8th Avenue 231,0.0,0,13581_-24667
189,40.7397486,-73.9926774,Gotham Coffee Roasters,New York,NY,West 19th Street 23,0.0,0,13579_-24665
190,40.7473252,-74.000383,Sullivan Street Bakery,New York,NY,Unknown Street,0.0,0,13582_-24667
191,40.735181,-73.9860339,Gramercy Cafe,New York,NY,3rd Avenue 184,0.0,0,13578_-24663
192,40.7359816,-73.98546,Sunburst Espresso Bar,New York,NY,3rd Avenue 206,0.0,0,13578_-24662
193,40.7371981,-73.9845693,Gramercy Bagels,New York,NY,3rd Avenue 246,0.0,0,13579_-24662
194,40.7352652,-73.983052,Mon Cheri,New York,NY,2nd Avenue 323A,0.0,0,13578_-24662
195,40.7408146,-73.983604,Yi Fang Tea,New York,NY,Lexington Avenue 61,0.0,0,13580_-24662
196,40.8052024,-73.9656144,Tea Magic,New York,NY,Broadway 2878,0.0,0,13601_-24656
197,40.7641932,-73.9812315,Premier Deli Café,New York,NY,7th Avenue 856,0.0,0,13588_-24661
198,40.7452911,-73.9845959,Slate Cafe,New York,NY,Madison Avenue 121,0.0,0,13581_-24662
199,40.7482758,-73.9823964,Cinico Coffee Company,New York,NY,Madison Avenue 199,0.0,0,13582_-24661
200,40.7547832,-73.9913539,Grace Cafe,New York,NY,8th Avenue 572,0.0,0,13584_-24664
201,40.7688283,-73.9885588,Rex,New York,NY,10th Avenue 864,0.0,0,13589_-24663
202,40.7685278,-73.9855197,Masseria Caffé & Bakery,New York,NY,9th Avenue 891,0.0,0,13589_-24662
203,40.7516393,-73.9702273,Pennylane Coffee,New York,NY,East 45th Street 305,0.0,0,13583_-24657
204,40.7521428,-73.9739415,Gong Cha,New York,NY,East 44th Street 160,0.0,0,13584_-24658
205,40.7506675,-73.973776,Aroma Espresso Bar,New York,NY,East 42nd Street 205,0.0,0,13583_-24658
206,40.7599011,-73.9696793,Maman,New York,NY,Lexington Avenue 667,0.0,0,13586_-24657
207,40.7503295,-73.9770276,Starbucks,New York,NY,Lexington Avenue 360,0.0,0,13583_-24660
208,40.7580277,-73.9714246,Devocion,New York,NY,Lexington Avenue 600,0.0,0,13586_-24658
209,40.7583219,-73.9741196,Starbucks,New York,NY,East 51st Street 45,0.0,0,13586_-24659
210,40.7563907,-73.9782057,Starbucks,New York,NY,5th Avenue 575,0.0,0,13585_-24660
211,40.7602955,-73.9845027,Gong Cha,New York,NY,Broadway 1600,0.0,0,13586_-24662
212,40.7616358,-73.9638234,Hawa,New York,NY,2nd Avenue 1151,0.0,0,13587_-24655
213,40.7604406,-73.987191,Starbucks,New York,NY,8th Avenue 770,0.0,0,13586_-24663
214,40.75965,-73.985965,Cafe Edison,New York,NY,West 47th Street 228,0.0,0,13586_-24662
215,40.7663762,-73.9599027,Gotham Green Cafe,New York,NY,2nd Avenue 1296,0.0,0,13588_-24654
216,40.76607,-73.9574726,Starbucks,New York,NY,1st Avenue 1281,0.0,0,13588_-24653
217,40.7699331,-73.9546801,Starbucks,New York,NY,1st Avenue 1445,0.0,0,13589_-24652
218,40.767958,-73.9637948,Gong Cha,New York,NY,Lexington Avenue 925,0.0,0,13589_-24655
219,40.7698597,-73.9671261,Poppi,New York,NY,East 69th Street 20,0.0,0,13589_-24656
220,40.7692531,-73.9632427,Corrado Bread And Pastry,New York,NY,Lexington Avenue 960,0.0,0,13589_-24655
221,40.7742485,-73.9629901,Café Carlyle,New York,NY,East 76th Street 35,0.0,0,13591_-24655
222,40.7737711,-73.9578856,Harbs,New York,NY,3rd Avenue 1374,0.0,0,13591_-24653
223,40.7719283,-73.953579,Le Petit Parisienne,New York,NY,East 78th Street 355,0.0,0,13590_-24652
224,40.7826516,-73.9534733,La Bomboniera,New York,NY,Lexington Avenue 1378,0.0,0,13594_-24652
225,40.7773842,-73.9552806,Juice Generation,New York,NY,3rd Avenue 1486,0.0,0,13592_-24652
226,40.7873253,-73.9538938,Daily Provisions,New York,NY,Madison Avenue 1381,0.0,0,13595_-24652
227,40.7748547,-73.9841451,Starbucks,New York,NY,Amsterdam Avenue 141,0.0,0,13591_-24662
228,40.777108,-73.9817979,Chanson,New York,NY,Broadway 2040,0.0,0,13592_-24661
229,40.7778296,-73.9793656,Juice Generation,New York,NY,West 72nd Street 117,0.0,0,13592_-24660
230,40.7819863,-73.9813099,Le Pain Quotidien,New York,NY,Broadway 2161,0.0,0,13593_-24661
231,40.7822863,-73.9787291,Daily Provisions,New York,NY,Amsterdam Avenue 375,0.0,0,13594_-24660
232,40.7847359,-73.9796748,Zabar's Cafe,New York,NY,Broadway 2241,0.0,0,13594_-24660
233,40.787081,-73.9752113,Fellini Coffee,New York,NY,Amsterdam Avenue 523,0.0,0,13595_-24659
234,40.7867605,-73.9722137,Starbucks,New York,NY,Columbus Avenue 540,0.0,0,13595_-24658
235,40.7892265,-73.9754011,La Farine,New York,NY,Broadway 2394,0.0,0,13596_-24659
